species	temp	injury_level	recov	replicate	Acq..Date.Time	TRT	Lactic_acid	Alanine	Valine	Leucine	Phosphoric_acid	Glycerol	Isoleucine	Proline	Glycine	Succinic_acid	Fumaric_acid	Pipecolic_acid	Serine	Threonine	Malic_acid	Methionine	Aspartate	GABA	Glutamate	Phenylalanine	Asparagine	Putrescine	Ornithine	Citric_acid	Fructose	Glucose	Lysine	Tyrosine	Mannitol	Inositol	Sucrose	Trehalose
SA	34	1/2	R	2	19/10/2022 04:14	2/2 R	0.589281631	3.392243739	2.939866262	0.469384452	25.42616794	0.861465496	1.264836931	7.340669345	1.152447224	0.704911659	0.734795092	0.358785742	1.50631987	1.853452378	1.81494536	0.627497176	1.421798911	1.696910424	7.543686261	1.104266249	15.65529597	0.186117023	0.517106825	0.844692064	0.859588328	22.58752599	4.672651376	4.345372815	1.933781193	0.723534975	0.29490712	31.99346257
SA	34	1/2	R	3	20/10/2022 15:08	2/2 R	0.870529982	2.902379252	1.244426936	0.468569248	20.42856948	0.778112581	0.553826324	4.545977386	1.001841139	0.744483391	0.787055535	0.418333639	1.117313043	1.01581952	1.375984609	0.796532731	1.26463992	1.327460856	5.676246807	0.821436613	9.505910535	0.19232397	0.779799372	0.874297307	0.412589169	19.84919588	5.950450662	3.103038833	0.639802314	0.74993881	0.407623777	28.13578883
SA	34	1/2	R	4	25/10/2022 12:39	2/2 R	1.507781959	3.537419249	1.954688588	0.507620668	14.49278384	0.705050148	0.849214698	6.079899154	0.874108661	0.615417551	0.433616592	0.452443678	1.148916799	1.238656829	1.366939299	0.462435692	1.018800289	1.345566961	5.47548713	0.692653249	9.375651759	0.18088785	0.670774244	0.706742424	0.460206136	16.46731222	3.84258542	3.42319051	0.577713119	0.863628349	0.42417371	33.18125739
SA	34	1/2	R	5	26/10/2022 23:33	2/2 R	0.491539945	2.459145845	1.241655588	0.436469234	15.20945907	0.502810843	0.727630479	3.840624647	0.709745779	0.464907497	0.339917393	0.312698077	0.958509212	1.055332816	0.983917344	0.703914008	0.880060536	1.060477124	4.365062479	0.672168378	6.801750264	0.122497696	0.478480934	0.522468813	0.434312017	16.61733227	2.784510073	2.3241227	0.905511329	0.733464953	0.35376885	25.28214234
SA	34	1/2	R	6	26/11/2022 13:53	2/2 R	0.545470151	3.587464154	2.511663177	0.68843536	29.500188	0.593474664	1.326896567	6.675674471	1.423139028	0.483540463	0.365164223	0.359777345	2.364218203	2.067415809	1.487197058	0.738849061	1.26573225	2.045285445	8.843826581	1.249492572	15.16815832	0.155547499	0.733282446	0.791767927	0.848525942	28.08326848	5.845620374	18.94412882	2.323756994	1.030832204	0.357870408	41.47227511
SA	34	1/2	R	7	19/11/2022 02:27	2/2 R	0.81012158	3.20613693	3.459625057	0.563071443	25.17966506	0.053697227	1.559500191	5.472791804	1.526611704	0.439590363	0.240603123	0.494437961	2.303566904	1.973422697	1.104913606	0.603163949	1.211663687	1.935892514	8.698064141	1.10660638	14.64242016	0.130591248	0.634526081	0.877789162	0.746350098	25.97709217	4.997524162	10.32579614	5.6894307	1.129078606	0.084864698	31.8138457
SA	34	1/2	R	8	26/11/2022 03:55	2/2 R	1.902594429	3.419626605	2.006312675	0.445699306	25.38667555	0.593474664	0.897790889	4.870579414	1.433211519	0.600629869	0.479274827	0.324829011	1.718410636	1.298551914	1.666018589	0.523229332	1.389897058	1.841532561	8.677975446	0.567029567	14.32735928	0.155547499	0.317191686	0.973803165	0.397363047	21.25914493	3.774659536	10.37568188	3.800917602	0.553998679	0.214978996	46.22276724
RP	20	C	D	1	12/10/2022 21:26	C	0.297810667	5.082474215	0.870839082	0.665096383	13.58267477	0.182048611	0.552662726	2.042447875	0.614843564	0.395204757	0.288203718	0.186145906	1.004780767	0.826092491	0.691211575	0.667629068	0.291415046	1.464035102	4.473145183	0.570563157	7.589202302	0.354773358	0.465405081	0.866196949	0.229607178	31.64974934	5.171223554	3.962940956	0.439675852	1.076886204	0.317690228	30.45463267
RP	20	C	D	2	19/10/2022 10:03	C	0.53976145	4.702893895	1.302487334	1.015539247	12.92115041	0.335403313	0.993395545	3.278691266	0.932103132	0.883700279	0.863623876	0.314720294	1.284147428	1.061997883	1.117524416	0.635645372	1.009890597	1.146363604	5.262398798	1.036550646	6.659111976	0.595942179	0.859239839	1.13354781	0.575790105	32.20974714	3.846689112	4.130505107	2.953994518	0.876104031	0.478918519	45.07939359
RP	20	C	D	3	20/10/2022 20:57	C	0.851055694	4.225270871	1.214240152	0.959121239	11.75375697	0.335170839	0.898197992	2.760941645	0.668651985	0.786032184	0.953940709	0.354722063	1.226954928	1.189564168	1.102872249	0.807376321	1.131935047	1.476477335	4.688803096	1.075200732	7.07682679	0.456919098	1.063958205	1.092671807	0.528101372	27.41422364	5.679903883	4.172868835	1.453281367	1.25827842	0.549734912	38.90368177
RP	20	C	D	4	24/11/2022 08:23	C	0.07790841	3.318164004	0.864010677	0.548543625	13.74866586	0.260316462	0.693363111	2.068150361	0.996095195	0.30709103	0.112911515	0.139579453	1.195271305	1.278045412	0.515786066	0.358191504	0.762643319	1.417851106	5.800285045	0.489252677	5.245108415	0.25925584	0.182625127	0.779126021	0.195423301	43.39154032	4.797603108	17.34347021	0.447586741	0.939203152	0.201518821	52.61290943
RP	20	C	D	5	27/10/2022 05:22	C	0.408384775	4.085586749	0.942537389	0.863081677	9.19855697	0.188643083	0.718177589	1.7848761	0.492977394	0.519188718	0.325139844	0.248433697	0.79420888	1.202933339	0.732616	0.467669027	0.673074872	0.932310138	3.898189499	0.64384694	5.40441795	0.45690129	0.540805838	0.737105814	0.359803792	20.69571605	3.008584785	2.950509879	0.9093848	0.667107453	0.466042407	31.41689956
RP	20	C	D	6	17/11/2022 22:12	C	0.216842214	2.273968658	0.9771891	0.676532659	13.34355675	0.260316462	0.66673592	1.705235114	0.667072432	0.437612306	0.102526155	0.230904295	0.798926334	0.888146993	0.46111104	0.159253752	0.963014059	1.201014906	6.150941086	0.407918572	5.43754668	0.305540547	0.231279262	0.779450087	0.225996151	36.80837616	3.31958133	8.702512976	0.736328504	0.505509272	0.069590968	35.56000724
RP	20	C	D	7	19/11/2022 08:16	C	0.25140976	3.981782681	1.356686749	0.985698315	15.64436879	0.260316462	1.027687104	2.546314323	0.528112567	0.410352127	0.094388065	0.38796777	1.26895539	1.010532396	0.674038437	0.188779546	1.55526384	1.410552724	8.268995431	0.579578488	4.659405668	0.451033628	0.260536772	1.137255513	0.356599428	25.42896082	1.836951278	7.050792228	0.411953387	0.965200551	0.175858505	42.03307922
