"","species","temp","injurylevel","recov","replicate","Acq..Date.Time","TRT","metabolites","conc","fold_change","log_foldchange","group"
"121","MD",34,"1/2","R",5,"2022/11/25 13:48","1/2 R","Alanine",7.541704006,0.963002031828566,-0.054389252887264,"Amino acids"
"122","MD",34,"1/2","R",6,"2022/10/27 19:30","1/2 R","Alanine",8.19824752128571,1.04683623411243,0.0660357663247275,"Amino acids"
"123","MD",34,"1/2","R",7,"2022/11/18 11:30","1/2 R","Alanine",8.884239811,1.1344307576164,0.181968553750625,"Amino acids"
"124","MD",34,"1/2","R",8,"2022/11/19 21:34","1/2 R","Alanine",8.595090937,1.09750926706978,0.134233121536644,"Amino acids"
"125","MD",-5,"1/2","D",1,"2022/10/12 01:29","1/2 D","Alanine",20.92764983,2.67225673291516,1.41805861915582,"Amino acids"
"126","MD",-5,"1/2","D",2,"2022/10/13 18:17","1/2 D","Alanine",17.52803679,2.23815931111946,1.16231273031876,"Amino acids"
"127","MD",-5,"1/2","D",3,"2022/10/20 01:00","1/2 D","Alanine",20.02286219,2.55672417754038,1.35429652930919,"Amino acids"
"128","MD",-5,"1/2","D",4,"2022/10/21 11:54","1/2 D","Alanine",21.11898335,2.69668815695014,1.43118869901761,"Amino acids"
"129","MD",-5,"1/2","D",5,"2022/11/25 14:38","1/2 D","Alanine",20.15154318,2.57315548467324,1.3635386355364,"Amino acids"
"130","MD",-5,"1/2","D",6,"2022/10/27 20:20","1/2 D","Alanine",17.24704705,2.20227966239184,1.13899768503627,"Amino acids"
"131","MD",-5,"1/2","D",7,"2022/11/18 12:20","1/2 D","Alanine",18.21834453,2.32630487552747,1.21804018261869,"Amino acids"
"132","MD",-5,"1/2","D",8,"2022/11/19 22:24","1/2 D","Alanine",17.67601939,2.25705524556106,1.17444173156543,"Amino acids"
"133","MD",-5,"1/2","R",1,"2022/10/12 02:19","1/2 R","Alanine",8.361533461,1.06768625575061,0.0944877670901671,"Amino acids"
"134","MD",-5,"1/2","R",2,"2022/10/13 19:07","1/2 R","Alanine",6.009614859,0.767369193370613,-0.382007246891616,"Amino acids"
"135","MD",-5,"1/2","R",3,"2022/10/20 01:50","1/2 R","Alanine",6.31216851,0.806002343175796,-0.311144061986244,"Amino acids"
"136","MD",-5,"1/2","R",4,"2022/10/21 12:44","1/2 R","Alanine",7.286949233,0.930472332463297,-0.10396484241211,"Amino acids"
"137","MD",-5,"1/2","R",5,"2022/11/25 15:27","1/2 R","Alanine",6.569358852,0.838843040943256,-0.253527207031397,"Amino acids"
"138","MD",-5,"1/2","R",6,"2022/10/27 21:10","1/2 R","Alanine",3.700704544,0.472543869692306,-1.08147982343814,"Amino acids"
"139","MD",-5,"1/2","R",7,"2022/11/18 13:09","1/2 R","Alanine",6.767628583,0.864160151459818,-0.210629388626197,"Amino acids"
"140","MD",-5,"1/2","R",8,"2022/11/19 23:14","1/2 R","Alanine",5.907197901,0.754291546917075,-0.406805836653679,"Amino acids"
"141","MD",-5,"2/2","D",1,"2022/10/12 03:09","2/2 D","Alanine",32.45236632,4.14385060444454,2.05097199141439,"Amino acids"
"142","MD",-5,"2/2","D",2,"2022/10/13 19:57","2/2 D","Alanine",28.35922385,3.6211962398556,1.85646636145786,"Amino acids"
"143","MD",-5,"2/2","D",3,"2022/10/20 02:40","2/2 D","Alanine",28.22209476,3.60368619276442,1.84947338744067,"Amino acids"
"144","MD",-5,"2/2","D",4,"2022/10/21 13:34","2/2 D","Alanine",32.95954387,4.20861223003463,2.07334458984585,"Amino acids"
"145","MD",-5,"2/2","D",5,"2022/11/25 16:17","2/2 D","Alanine",36.19077584,4.62120903175793,2.20827034859555,"Amino acids"
"146","MD",-5,"2/2","D",6,"2022/10/27 21:59","2/2 D","Alanine",27.2814104,3.48356997642012,1.80056654380582,"Amino acids"
"147","MD",-5,"2/2","D",7,"2022/11/18 13:59","2/2 D","Alanine",21.47892264,2.74264889305556,1.45556994385255,"Amino acids"
"148","MD",-5,"2/2","D",8,"2022/11/20 00:03","2/2 D","Alanine",25.68834095,3.28015054813528,1.71376203132624,"Amino acids"
"149","MD",34,"2/2","D",1,"2022/10/12 03:59","2/2 D","Alanine",12.19589669,1.55729703566959,0.639044147381778,"Amino acids"
"150","MD",34,"2/2","D",2,"2022/10/13 20:46","2/2 D","Alanine",10.8904534,1.39060466220773,0.475712331499173,"Amino acids"
"151","MD",34,"2/2","D",3,"2022/10/20 03:30","2/2 D","Alanine",6.006261196,0.76694096332068,-0.38281256696689,"Amino acids"
"152","MD",34,"2/2","D",4,"2022/10/21 14:24","2/2 D","Alanine",11.6900237,1.49270198966545,0.577926167517731,"Amino acids"
"153","MD",34,"2/2","D",5,"2022/10/26 11:55","2/2 D","Alanine",9.03891241,1.15418093966899,0.206869411418873,"Amino acids"
"154","MD",34,"2/2","D",6,"2022/10/27 22:49","2/2 D","Alanine",10.68582924,1.36447615309567,0.448347180899155,"Amino acids"
"155","MD",34,"2/2","D",7,"2022/11/18 14:49","2/2 D","Alanine",9.871992221,1.26055710479428,0.334061475544668,"Amino acids"
"156","MD",34,"2/2","D",8,"44885.03733","2/2 D","Alanine",6.788258574,0.866794400063821,-0.206238261975218,"Amino acids"
"157","MD",34,"2/2","R",1,"2022/10/12 04:48","2/2 R","Alanine",4.738225887,0.605025224115605,-0.724932803825913,"Amino acids"
